temperature,rainfall,soil_moisture,soil_humidity,ndvi,historical_rainfall,historical_temperature,days_since_planting,soil_type,current_crop,label
23.87,1.55,0.169,0.298,0.303,12.88,21.80,11,sableux,arachide,0
23.54,12.25,0.138,0.010,0.217,28.67,22.93,67,sableux,coton,0
27.92,1.08,0.149,0.146,0.395,25.73,27.60,90,sableux,riz,0
23.38,65.26,0.224,0.177,0.411,56.25,24.60,16,argileux,mil,3
27.96,83.00,0.252,0.358,0.524,104.07,27.96,112,sableux,maïs,1
20.46,22.73,0.135,0.164,0.254,22.73,21.54,100,argileux,riz,0
36.98,7.31,0.359,0.417,0.407,11.76,40.00,78,argileux,arachide,1
18.90,12.74,0.405,0.385,0.460,4.56,20.65,44,argileux,sorgho,1
19.05,3.91,0.212,0.108,0.282,6.92,20.42,9,sableux,maïs,0
32.87,62.42,0.137,0.162,0.318,76.16,29.67,54,sableux,maïs,1
24.07,3.57,0.181,0.241,0.260,0.00,22.94,71,sableux,maïs,0
17.27,6.67,0.478,0.344,0.442,0.00,19.90,79,sableux,maïs,1
24.83,0.66,0.134,0.062,0.223,7.44,26.89,43,sableux,coton,0
25.95,7.38,0.261,0.259,0.332,51.06,26.55,61,sableux,mil,1
18.77,23.32,0.100,0.010,0.349,21.53,19.81,37,loam,coton,4
34.46,187.59,0.191,0.392,0.508,165.32,35.69,34,argileux,arachide,1
31.02,39.39,0.183,0.233,0.398,53.89,31.77,27,loam,maïs,1
32.03,105.78,0.039,0.077,0.515,93.62,31.36,75,loam,riz,0
18.93,33.08,0.307,0.543,0.463,66.60,17.29,44,loam,riz,1
19.42,0.16,0.498,0.517,0.486,0.00,20.48,94,argileux,mil,1
22.84,10.32,0.403,0.357,0.392,7.16,22.01,2,sableux,arachide,2
10.81,25.62,0.573,0.594,0.611,33.60,10.00,78,loam,sorgho,1
29.99,72.87,0.543,0.589,0.578,49.87,32.19,14,loam,mil,1
28.35,0.08,0.397,0.444,0.482,56.77,28.85,68,sableux,arachide,1
22.00,0.81,0.179,0.112,0.353,0.00,20.22,79,sableux,riz,0
11.98,97.34,0.055,0.039,0.208,120.46,11.42,111,sableux,riz,1
19.41,37.52,0.230,0.404,0.291,49.09,19.64,91,argileux,riz,0
31.27,1.17,0.292,0.321,0.364,43.51,31.81,23,argileux,coton,1
27.62,22.66,0.357,0.369,0.489,30.28,29.39,112,loam,arachide,1
20.27,1.57,0.422,0.408,0.411,58.28,21.01,22,sableux,coton,1
16.85,68.01,0.428,0.436,0.584,91.11,15.18,42,loam,arachide,1
16.85,14.94,0.548,0.515,0.518,22.59,17.41,41,sableux,sorgho,1
16.74,18.15,0.481,0.447,0.543,20.80,15.32,98,loam,maïs,1
22.49,43.54,0.261,0.406,0.359,64.33,21.59,71,argileux,mil,1
14.81,11.94,0.242,0.211,0.407,15.49,14.06,97,sableux,sorgho,1
32.75,0.19,0.089,0.135,0.217,8.47,28.44,83,loam,sorgho,3
26.20,120.27,0.613,0.623,0.794,162.97,30.30,114,argileux,mil,3
13.61,23.47,0.206,0.254,0.358,24.27,17.42,68,argileux,coton,1
20.57,3.99,0.453,0.368,0.545,34.21,19.76,112,argileux,mil,1
26.04,59.95,0.460,0.477,0.543,63.98,27.03,42,loam,riz,1
23.23,25.35,0.091,0.018,0.224,20.83,25.05,112,argileux,coton,0
31.67,0.84,0.288,0.387,0.369,54.66,31.79,116,argileux,maïs,1
35.15,29.34,0.535,0.543,0.652,48.34,34.31,89,sableux,arachide,3
22.70,2.24,0.238,0.169,0.300,0.00,22.43,84,loam,coton,0
30.49,94.88,0.242,0.242,0.483,103.56,31.17,62,loam,coton,1
16.62,127.53,0.175,0.218,0.424,147.06,17.42,60,sableux,mil,1
19.68,21.96,0.669,0.674,0.592,71.71,17.08,73,sableux,mil,1
26.48,19.10,0.135,0.243,0.292,35.45,25.97,66,sableux,mil,0
31.55,6.60,0.374,0.449,0.424,18.53,28.49,97,loam,mil,1
31.34,78.17,0.037,0.010,0.301,81.42,30.92,64,sableux,coton,1
21.52,111.29,0.416,0.572,0.632,123.54,23.35,22,argileux,riz,1
22.30,43.46,0.228,0.205,0.434,72.94,20.17,113,sableux,riz,1
27.78,4.14,0.373,0.313,0.392,39.44,27.45,26,sableux,mil,1
31.73,9.86,0.256,0.402,0.402,8.64,31.37,66,sableux,sorgho,1
25.38,17.54,0.306,0.340,0.355,31.00,25.07,83,loam,riz,1
26.56,36.45,0.465,0.313,0.508,42.65,26.50,52,sableux,arachide,1
23.24,8.08,0.441,0.366,0.454,11.84,22.23,21,argileux,arachide,1
11.83,38.03,0.402,0.403,0.472,13.58,10.00,45,loam,coton,1
13.12,4.89,0.314,0.342,0.398,18.84,17.22,82,sableux,sorgho,1
18.53,3.40,0.126,0.214,0.183,46.64,17.30,73,sableux,maïs,0
17.62,4.94,0.268,0.323,0.344,33.01,15.06,7,sableux,maïs,0
22.85,20.40,0.264,0.379,0.487,21.05,25.38,56,argileux,coton,1
13.71,22.11,0.235,0.262,0.340,27.46,13.09,108,argileux,arachide,0
24.74,2.81,0.457,0.592,0.411,22.60,22.81,42,loam,riz,1
5.80,12.48,0.277,0.178,0.295,70.38,10.00,31,sableux,coton,1
30.14,3.33,0.156,0.173,0.362,28.38,27.31,65,argileux,arachide,0
33.83,1.03,0.211,0.241,0.290,0.00,31.81,95,loam,riz,0
35.43,14.72,0.139,0.090,0.333,18.90,38.02,100,loam,coton,0
25.97,16.55,0.146,0.220,0.250,26.58,23.98,62,loam,maïs,0
22.28,12.82,0.160,0.143,0.317,24.52,20.53,84,sableux,mil,0
26.48,2.96,0.357,0.409,0.350,20.47,27.45,37,sableux,arachide,0
27.68,8.17,0.146,0.138,0.292,10.87,26.78,45,loam,mil,0
29.67,105.89,0.559,0.561,0.686,121.78,27.48,44,sableux,maïs,1
25.92,1.51,0.432,0.541,0.450,45.05,29.69,4,loam,coton,2
29.05,7.85,0.053,0.010,0.271,55.19,29.62,33,argileux,arachide,1
31.25,13.31,0.643,0.705,0.625,19.91,30.35,15,loam,sorgho,1
22.44,7.33,0.136,0.160,0.309,30.60,21.31,79,loam,sorgho,0
27.15,29.77,0.169,0.169,0.341,21.19,30.12,102,argileux,sorgho,0
25.74,4.58,0.495,0.535,0.519,0.00,22.59,108,argileux,riz,1
24.64,54.97,0.180,0.231,0.392,71.92,21.07,23,argileux,mil,1
7.14,17.05,0.621,0.521,0.654,80.28,10.00,13,sableux,arachide,1
28.19,3.04,0.219,0.271,0.275,8.23,29.61,84,sableux,maïs,0
28.49,11.59,0.178,0.304,0.349,31.54,27.72,91,loam,sorgho,0
26.10,24.59,0.184,0.273,0.376,22.18,28.90,14,loam,arachide,2
23.20,2.91,0.206,0.293,0.283,9.40,25.09,4,sableux,coton,0
23.11,13.75,0.096,0.010,0.247,4.70,28.64,114,loam,arachide,0
29.32,10.14,0.495,0.562,0.499,17.42,27.52,62,argileux,riz,1
33.52,2.74,0.466,0.462,0.495,22.90,37.99,110,argileux,arachide,1
27.73,48.09,0.152,0.010,0.349,53.98,25.47,28,argileux,arachide,1
31.51,27.63,0.261,0.214,0.328,19.05,32.62,38,argileux,mil,0
28.50,25.93,0.321,0.312,0.529,55.52,28.67,95,sableux,coton,1
30.40,41.37,0.057,0.033,0.290,59.64,32.09,96,loam,coton,1
18.09,8.63,0.128,0.184,0.310,20.32,15.32,79,sableux,riz,0
24.51,28.77,0.307,0.483,0.313,19.69,25.57,32,argileux,arachide,0
35.71,37.61,0.385,0.261,0.560,46.25,35.34,10,argileux,maïs,1
18.30,10.11,0.112,0.139,0.308,32.78,22.64,86,loam,coton,0
22.89,4.35,0.322,0.366,0.383,0.00,21.41,34,argileux,sorgho,1
24.44,42.89,0.548,0.588,0.576,57.83,23.55,112,loam,riz,3
33.43,19.44,0.088,0.112,0.260,22.09,26.61,55,sableux,coton,0
31.60,19.44,0.198,0.169,0.353,19.52,32.21,91,loam,maïs,1
28.34,12.22,0.277,0.288,0.391,18.63,28.40,13,argileux,riz,1
7.84,277.12,0.631,0.613,0.883,297.80,10.00,4,sableux,maïs,2
23.23,8.52,0.429,0.349,0.503,9.78,25.01,57,argileux,maïs,1
29.59,14.16,0.082,0.257,0.266,25.52,31.08,59,argileux,coton,0
22.98,2.45,0.186,0.336,0.358,17.57,21.48,13,argileux,mil,1
21.57,50.68,0.134,0.200,0.269,64.79,18.65,53,argileux,riz,1
24.19,16.99,0.129,0.058,0.317,16.39,19.15,80,loam,mil,0
31.42,0.10,0.118,0.200,0.268,28.46,33.32,11,sableux,arachide,0
40.15,14.00,0.381,0.404,0.361,40.14,39.82,58,argileux,arachide,1
30.83,15.74,0.281,0.274,0.350,20.31,30.01,82,argileux,sorgho,1
24.63,0.36,0.195,0.180,0.368,1.71,25.98,44,sableux,riz,0
18.75,15.73,0.247,0.175,0.398,39.02,18.18,42,sableux,arachide,1
19.92,6.29,0.045,0.109,0.208,37.58,23.53,32,argileux,maïs,0
25.37,8.31,0.321,0.412,0.351,71.60,25.41,52,argileux,mil,1
19.19,5.71,0.356,0.471,0.358,19.59,21.62,50,sableux,riz,1
26.63,7.97,0.512,0.428,0.503,2.01,28.40,93,argileux,maïs,3
21.01,9.83,0.266,0.339,0.401,49.81,19.50,66,sableux,mil,1
16.45,18.76,0.158,0.157,0.398,32.06,15.88,17,argileux,riz,1
33.09,26.04,0.339,0.431,0.435,42.59,33.97,28,argileux,arachide,1
19.71,23.16,0.187,0.286,0.274,47.00,22.68,26,sableux,riz,0
22.29,26.22,0.325,0.277,0.472,74.68,24.39,87,argileux,sorgho,1
21.04,75.87,0.361,0.298,0.481,101.29,19.53,17,loam,sorgho,1
18.03,48.07,0.311,0.366,0.361,42.65,17.61,11,sableux,riz,1
24.20,59.46,0.088,0.212,0.325,64.19,21.45,79,loam,sorgho,1
33.74,11.59,0.178,0.188,0.301,8.28,30.73,12,sableux,coton,1
33.01,36.83,0.471,0.496,0.487,25.82,33.17,92,argileux,mil,1
32.01,15.03,0.403,0.245,0.421,77.53,32.05,86,sableux,riz,1
21.54,21.01,0.231,0.368,0.366,51.83,22.80,27,sableux,sorgho,1
14.34,1.87,0.180,0.082,0.249,26.46,12.08,13,sableux,mil,0
28.28,1.06,0.187,0.222,0.273,12.24,26.33,116,sableux,sorgho,0
24.31,109.07,0.215,0.176,0.448,79.94,23.61,86,loam,arachide,1
24.54,2.87,0.114,0.010,0.242,0.00,22.70,45,argileux,coton,0
27.47,8.59,0.311,0.256,0.468,33.84,25.23,17,argileux,arachide,1
23.65,3.16,0.358,0.420,0.457,16.32,20.77,74,loam,arachide,1
28.97,10.19,0.449,0.307,0.502,0.00,29.74,89,loam,mil,1
15.98,18.37,0.352,0.422,0.436,18.07,17.29,3,argileux,arachide,1
28.55,21.55,0.105,0.107,0.331,0.00,25.88,117,sableux,coton,0
20.62,23.38,0.492,0.645,0.528,70.76,19.64,38,loam,coton,1
32.93,18.59,0.431,0.374,0.472,4.43,33.30,108,argileux,maïs,1
25.47,15.17,0.247,0.197,0.447,27.30,21.72,44,argileux,mil,1
25.16,3.81,0.122,0.054,0.289,0.00,25.12,72,sableux,sorgho,0
27.33,3.61,0.129,0.160,0.217,13.86,30.48,82,argileux,riz,0
31.19,11.81,0.296,0.385,0.395,23.61,34.99,8,loam,riz,1
30.13,44.98,0.396,0.384,0.469,60.34,29.58,106,loam,arachide,1
33.75,7.27,0.507,0.496,0.567,58.63,32.61,80,argileux,mil,1
21.96,6.95,0.629,0.794,0.607,16.16,21.17,56,sableux,maïs,1
32.74,1.75,0.106,0.222,0.285,29.40,35.31,52,loam,maïs,0
13.17,14.96,0.052,0.102,0.225,14.79,14.56,40,argileux,sorgho,0
33.55,75.30,0.476,0.433,0.638,87.55,33.87,101,loam,coton,1
23.46,11.13,0.156,0.309,0.429,41.03,25.37,5,sableux,riz,1
30.18,73.78,0.108,0.175,0.378,105.50,29.85,119,argileux,riz,3
33.77,16.34,0.614,0.797,0.642,60.97,35.07,0,argileux,sorgho,2
30.68,37.07,0.281,0.212,0.428,65.01,32.69,97,argileux,coton,1
34.51,23.40,0.422,0.469,0.496,47.61,35.61,48,sableux,maïs,1
25.99,28.99,0.487,0.565,0.563,43.43,27.72,22,loam,arachide,1
17.44,51.88,0.634,0.649,0.662,41.62,17.86,120,loam,arachide,3
19.49,9.55,0.556,0.472,0.560,15.00,17.27,74,sableux,sorgho,1
28.39,28.05,0.347,0.395,0.463,40.37,28.72,110,argileux,coton,1
26.88,93.45,0.325,0.265,0.492,130.70,29.63,67,argileux,maïs,1
33.33,77.70,0.415,0.477,0.569,95.28,35.80,79,loam,arachide,1
31.81,18.73,0.076,0.100,0.248,59.85,32.16,84,sableux,riz,1
42.35,6.83,0.425,0.345,0.480,9.58,40.00,12,argileux,coton,1
16.08,26.38,0.154,0.033,0.286,73.28,15.11,90,sableux,riz,1
41.04,5.92,0.485,0.458,0.414,0.00,40.00,33,sableux,coton,1
32.09,5.80,0.113,0.163,0.360,29.88,33.04,11,loam,riz,1
22.89,7.93,0.385,0.307,0.404,0.00,22.60,116,sableux,riz,1
18.06,2.15,0.389,0.341,0.540,21.23,18.16,64,sableux,arachide,1
30.46,0.64,0.143,0.265,0.342,0.00,33.11,85,loam,mil,0
24.81,31.56,0.292,0.223,0.336,37.60,26.72,80,argileux,mil,0
27.99,133.48,0.143,0.055,0.434,163.51,26.64,51,loam,arachide,1
29.55,52.38,0.389,0.383,0.433,103.57,27.88,100,loam,mil,1
24.05,13.00,0.377,0.285,0.512,12.88,23.60,77,loam,arachide,1
35.40,13.18,0.261,0.248,0.388,32.66,37.71,93,sableux,arachide,1
23.40,12.62,0.107,0.066,0.266,28.64,25.20,83,argileux,mil,0
21.03,22.09,0.336,0.352,0.462,67.62,19.28,31,loam,coton,1
19.02,5.54,0.407,0.350,0.434,55.37,21.25,43,loam,mil,1
23.35,44.12,0.329,0.343,0.424,94.45,23.73,39,loam,mil,1
22.21,17.05,0.465,0.626,0.526,28.02,24.79,7,argileux,arachide,2
29.94,0.34,0.035,0.125,0.248,22.89,28.62,55,argileux,mil,0
23.92,55.48,0.357,0.403,0.513,52.06,23.98,101,loam,riz,1
20.66,8.96,0.126,0.115,0.272,3.40,21.23,72,sableux,sorgho,0
24.48,27.83,0.590,0.581,0.571,66.37,25.16,29,loam,maïs,1
29.26,22.80,0.047,0.062,0.287,21.16,28.17,110,argileux,mil,0
22.03,15.41,0.417,0.397,0.422,34.52,23.14,25,loam,coton,0
21.78,21.18,0.045,0.078,0.379,14.22,19.57,23,sableux,sorgho,1
31.64,60.91,0.243,0.201,0.426,85.64,30.42,14,sableux,sorgho,1
17.39,10.16,0.328,0.254,0.448,9.14,16.98,61,loam,arachide,1
23.66,8.53,0.136,0.219,0.282,12.10,20.04,53,sableux,coton,0
16.74,36.67,0.096,0.186,0.367,42.89,17.41,88,loam,riz,1
19.61,1.57,0.149,0.159,0.359,10.73,21.04,49,loam,coton,0
19.19,7.35,0.486,0.435,0.542,20.08,17.09,10,argileux,riz,1
29.58,19.79,0.196,0.258,0.328,0.00,30.60,64,sableux,maïs,0
25.29,39.59,0.581,0.571,0.508,13.76,26.40,92,loam,mil,3
7.94,23.20,0.248,0.249,0.389,42.09,10.00,99,loam,sorgho,1
35.78,1.46,0.071,0.087,0.258,0.00,36.10,4,argileux,sorgho,0
39.04,7.26,0.383,0.272,0.464,8.60,39.33,64,argileux,arachide,1
19.82,1.51,0.491,0.452,0.445,52.77,20.45,8,loam,riz,2
29.09,6.77,0.353,0.440,0.356,54.89,28.65,96,argileux,coton,1
37.76,14.81,0.408,0.334,0.506,0.00,38.84,79,argileux,arachide,1
23.65,7.81,0.143,0.134,0.203,24.77,25.98,67,loam,arachide,0
31.22,40.97,0.279,0.359,0.417,71.84,27.98,13,argileux,coton,1
26.99,12.51,0.104,0.015,0.248,0.00,27.23,51,sableux,coton,0
28.76,14.00,0.055,0.010,0.336,20.88,30.16,75,loam,coton,0
23.97,1.74,0.302,0.376,0.427,25.23,24.37,19,sableux,coton,1
27.69,14.09,0.267,0.348,0.337,29.77,29.75,60,loam,arachide,0
29.00,49.22,0.048,0.154,0.336,82.91,30.28,52,sableux,riz,1
19.15,12.74,0.467,0.322,0.474,31.75,20.60,5,sableux,riz,2
18.63,64.13,0.176,0.059,0.418,145.89,20.24,112,loam,sorgho,1
21.95,15.92,0.413,0.336,0.515,33.53,18.59,32,sableux,coton,1
23.14,14.12,0.494,0.505,0.492,32.83,23.95,48,argileux,mil,1
25.70,25.76,0.095,0.258,0.265,41.75,24.86,56,loam,arachide,0
20.07,38.27,0.170,0.110,0.285,49.93,20.84,48,argileux,riz,0
26.15,22.08,0.279,0.168,0.379,43.79,25.50,29,loam,maïs,1
30.94,15.98,0.351,0.404,0.375,40.99,30.94,93,loam,sorgho,1
32.66,43.29,0.412,0.301,0.503,51.52,33.11,120,argileux,maïs,1
22.09,28.67,0.548,0.521,0.631,29.64,24.45,39,argileux,mil,1
28.07,1.13,0.049,0.117,0.197,24.40,28.43,21,argileux,coton,0
21.51,1.76,0.263,0.425,0.310,7.32,21.18,42,loam,coton,0
25.58,14.71,0.412,0.374,0.431,53.64,23.31,95,argileux,mil,1
25.28,15.93,0.660,0.659,0.725,26.78,25.71,23,sableux,arachide,1
13.60,51.25,0.237,0.223,0.403,74.22,14.29,54,argileux,riz,1
28.28,30.07,0.017,0.172,0.168,60.93,24.84,105,argileux,arachide,1
15.90,12.16,0.357,0.362,0.415,11.48,15.74,56,loam,arachide,1
27.14,0.27,0.321,0.287,0.439,11.57,25.24,41,sableux,riz,1
28.04,268.90,0.507,0.676,0.780,300.56,28.46,22,sableux,riz,4
23.05,116.33,0.479,0.498,0.626,121.22,19.89,67,sableux,arachide,1
28.51,36.72,0.404,0.241,0.520,52.09,23.66,87,argileux,maïs,1
26.45,1.60,0.395,0.338,0.442,2.12,24.61,55,argileux,mil,1
25.03,17.64,0.080,0.137,0.296,59.42,23.58,47,loam,riz,1
17.42,10.79,0.214,0.168,0.268,30.05,18.98,94,sableux,mil,0
21.99,41.90,0.418,0.380,0.513,46.12,24.62,21,sableux,riz,1
15.66,96.12,0.119,0.217,0.442,118.99,12.22,57,argileux,maïs,1
19.48,3.63,0.342,0.290,0.394,0.00,20.59,110,loam,riz,1
17.48,1.68,0.082,0.083,0.257,26.88,17.83,62,loam,mil,0
27.24,4.24,0.398,0.423,0.420,55.84,25.14,53,sableux,sorgho,1
23.19,22.48,0.322,0.336,0.388,35.40,24.19,37,argileux,coton,1
23.54,4.55,0.400,0.419,0.438,66.13,23.97,19,sableux,arachide,1
20.11,96.69,0.429,0.353,0.611,113.04,21.60,85,sableux,arachide,1
26.72,68.18,0.382,0.502,0.451,86.56,28.68,114,loam,sorgho,1
23.95,61.19,0.252,0.300,0.429,93.93,20.94,88,sableux,maïs,1
34.88,4.77,0.261,0.306,0.363,24.74,34.36,106,argileux,maïs,1
26.80,3.61,0.415,0.508,0.523,15.73,24.53,118,argileux,coton,1
35.16,28.95,0.012,0.010,0.244,41.90,32.18,91,sableux,coton,0
28.65,24.59,0.033,0.010,0.132,12.92,26.68,94,loam,maïs,0
25.68,6.18,0.590,0.538,0.541,11.13,26.10,43,argileux,arachide,1
31.76,25.46,0.291,0.361,0.395,54.20,32.39,101,argileux,sorgho,1
33.57,36.22,0.183,0.044,0.359,32.85,32.19,103,argileux,arachide,1
18.95,25.06,0.164,0.191,0.376,38.32,22.20,78,loam,riz,1
25.44,2.14,0.464,0.477,0.448,0.00,25.83,60,sableux,mil,1
28.67,1.90,0.245,0.206,0.373,15.08,27.25,23,argileux,maïs,1
21.18,23.09,0.246,0.315,0.403,0.00,21.78,99,loam,riz,1
19.33,18.61,0.432,0.339,0.487,0.00,17.80,51,argileux,riz,1
22.26,30.68,0.215,0.349,0.303,58.57,22.07,15,loam,coton,1
22.34,8.99,0.313,0.273,0.355,27.00,20.11,71,argileux,mil,1
28.89,0.60,0.158,0.055,0.259,0.00,28.73,86,sableux,arachide,0
19.75,143.58,0.243,0.211,0.436,167.91,20.09,49,sableux,riz,1
30.43,2.18,0.480,0.396,0.464,12.20,26.90,52,loam,coton,1
22.69,27.87,0.017,0.010,0.231,30.10,25.25,36,argileux,riz,4
19.50,7.06,0.282,0.271,0.423,23.89,18.50,86,loam,coton,1
24.63,85.01,0.203,0.072,0.486,114.64,21.11,103,sableux,maïs,1
20.01,8.49,0.295,0.436,0.412,21.60,22.79,36,sableux,coton,1
26.08,0.28,0.339,0.422,0.412,14.30,27.97,64,loam,mil,1
14.77,14.37,0.293,0.232,0.380,34.31,14.45,39,argileux,maïs,1
22.05,75.57,0.294,0.348,0.467,113.78,25.76,87,sableux,riz,1
28.23,27.81,0.545,0.563,0.510,52.52,30.61,13,argileux,mil,1
26.76,1.81,0.096,0.217,0.303,26.59,25.49,17,loam,riz,0
26.13,6.11,0.064,0.083,0.184,36.54,23.49,82,sableux,arachide,0
32.67,26.51,0.312,0.264,0.493,57.50,29.38,19,argileux,sorgho,1
20.61,12.27,0.081,0.086,0.274,34.20,19.49,84,argileux,maïs,0
24.88,3.87,0.459,0.466,0.577,0.00,26.16,28,loam,arachide,1
29.99,31.08,0.370,0.487,0.425,45.52,29.77,31,argileux,riz,1
22.58,17.98,0.118,0.233,0.304,0.00,22.43,115,sableux,arachide,0
24.20,210.53,0.395,0.415,0.699,211.96,24.49,110,argileux,arachide,1
38.47,11.34,0.188,0.086,0.290,21.04,37.99,10,sableux,coton,0
21.35,30.57,0.151,0.131,0.277,35.01,18.15,58,loam,sorgho,0
16.99,11.29,0.170,0.116,0.310,33.23,18.92,109,sableux,sorgho,0
24.42,27.42,0.194,0.015,0.322,63.92,23.80,55,argileux,arachide,1
20.75,47.65,0.721,0.797,0.747,52.29,17.70,55,sableux,riz,1
25.23,23.67,0.080,0.134,0.270,27.80,24.58,102,loam,sorgho,0
34.55,3.60,0.319,0.342,0.438,0.76,35.50,110,sableux,arachide,1
28.08,7.25,0.492,0.327,0.511,11.74,28.26,38,argileux,riz,1
31.32,0.58,0.212,0.310,0.382,17.69,31.93,102,loam,arachide,1
11.41,41.96,0.039,0.162,0.203,47.92,12.62,28,sableux,maïs,0
26.34,15.47,0.279,0.211,0.375,0.00,23.82,22,loam,maïs,1
20.48,33.31,0.141,0.244,0.361,43.18,17.83,46,argileux,maïs,1
27.00,25.81,0.412,0.479,0.447,63.72,28.62,107,argileux,sorgho,1
28.26,27.47,0.261,0.306,0.414,51.43,28.00,28,sableux,mil,1
29.25,25.35,0.621,0.645,0.623,34.94,33.09,46,loam,arachide,1
29.03,33.75,0.256,0.215,0.362,40.17,26.39,34,argileux,riz,1
29.02,26.61,0.484,0.567,0.517,46.39,30.53,47,loam,riz,1
23.65,25.23,0.247,0.258,0.389,31.16,22.94,24,sableux,arachide,1
28.27,1.67,0.126,0.102,0.238,12.20,27.50,66,argileux,coton,0
27.27,5.57,0.408,0.537,0.526,18.52,29.33,56,loam,sorgho,1
25.04,9.62,0.472,0.444,0.449,20.02,22.68,29,sableux,maïs,1
25.53,44.42,0.615,0.615,0.591,55.93,24.14,9,sableux,sorgho,2
22.96,26.65,0.053,0.103,0.284,49.84,26.21,1,sableux,maïs,0
24.10,8.32,0.427,0.308,0.420,1.29,25.20,12,loam,mil,1
12.04,23.28,0.353,0.535,0.468,60.41,12.51,42,loam,sorgho,1
20.54,15.57,0.320,0.381,0.279,16.21,22.37,79,argileux,arachide,0
25.96,4.91,0.538,0.523,0.516,17.39,24.24,87,sableux,mil,3
26.80,7.49,0.284,0.312,0.318,65.73,24.58,108,loam,arachide,1
29.43,68.32,0.415,0.380,0.484,92.09,30.43,32,sableux,arachide,3
24.33,43.08,0.303,0.164,0.542,75.91,24.48,25,loam,maïs,1
21.08,10.47,0.067,0.105,0.145,0.00,19.91,69,sableux,sorgho,0
26.84,74.39,0.182,0.288,0.408,89.61,26.46,91,loam,mil,1
24.04,46.06,0.105,0.069,0.306,53.20,22.43,115,argileux,riz,1
28.60,13.55,0.149,0.135,0.468,29.37,27.65,84,sableux,sorgho,1
18.58,5.05,0.221,0.145,0.378,34.02,20.31,12,loam,maïs,1
29.06,1.64,0.569,0.634,0.483,28.04,30.46,31,loam,maïs,1
25.54,19.65,0.221,0.290,0.330,22.23,26.56,70,argileux,sorgho,0
32.25,24.59,0.555,0.538,0.579,58.42,32.06,19,sableux,maïs,1
31.48,4.71,0.069,0.238,0.280,38.78,35.10,58,loam,riz,2
25.88,10.81,0.335,0.365,0.377,20.68,25.78,74,argileux,maïs,1
25.88,3.30,0.317,0.250,0.387,45.50,21.80,22,loam,riz,1
17.78,21.55,0.189,0.241,0.376,47.03,17.89,31,argileux,arachide,1
21.86,14.81,0.455,0.473,0.467,17.10,24.68,73,loam,mil,1
21.45,65.07,0.501,0.402,0.617,79.90,22.36,39,sableux,sorgho,1
34.14,3.10,0.448,0.367,0.451,9.18,33.60,42,argileux,mil,1
28.31,16.39,0.622,0.482,0.556,0.02,27.23,16,loam,sorgho,1
21.72,23.18,0.152,0.210,0.366,58.92,19.92,71,sableux,coton,1
25.00,48.58,0.259,0.298,0.366,77.19,28.29,62,sableux,coton,1
20.67,3.05,0.510,0.514,0.499,27.73,17.47,83,argileux,maïs,3
